filename;meas;Se;PVP
PX113211018174339;1;100.0;100.0
PX113211018174339;2;100.0;100.0
PX113211018174339;3;100.0;100.0
PX113211018174339;4;100.0;100.0
PX113211018174339;5;100.0;100.0
PX113211018174339;6;100.0;100.0
PX113211018182653;1;65.91;87.88
PX113211018182653;2;100.0;100.0
PX113211018182653;3;100.0;100.0
PX113211022153039;1;88.89;100.0
PX113211022153039;2;94.74;100.0
PX113211022153039;3;80.95;100.0
PX113211022153039;4;86.67;100.0
PX113211022153039;5;77.78;100.0
PX113211022161208;1;59.65;82.93
PX113211022161208;2;100.0;100.0
PX113211022161208;3;100.0;100.0
PX113211022161208;4;100.0;100.0
PX113211022161208;5;92.0;100.0
PX113211022170939;1;84.62;84.62
PX113211022170939;2;100.0;100.0
PX113211022170939;3;100.0;100.0
PX113211022170939;4;93.94;100.0
PX113211022170939;5;96.97;100.0
PX113211022170939;6;93.55;100.0
PX113211022175414;1;100.0;100.0
PX113211022175414;2;100.0;100.0
PX113211022175414;3;96.97;100.0
PX113211022175414;4;100.0;100.0
PX113211022185342;1;100.0;100.0
PX113211022185342;2;100.0;100.0
PX113211022185342;3;100.0;100.0
PX113211022185342;4;64.44;82.86
PX113211022185342;5;100.0;100.0
PX113211027165348;1;100.0;100.0
PX113211027165348;2;100.0;100.0
PX113211027165348;3;100.0;100.0
PX113211027165348;4;100.0;100.0
PX113211027165348;5;100.0;100.0
PX113211027165348;6;88.0;100.0
PX113211027165348;7;100.0;100.0
PX113211027165348;8;62.22;87.5
PX113211027174740;1;46.43;92.86
PX113211027174740;2;77.27;100.0
PX113211027174740;3;95.83;100.0
PX113211027174740;4;76.19;100.0
PX113211027174740;5;88.89;100.0
PX113211027174740;6;86.36;100.0
PX113211027183148;1;30.51;90.0
PX113211027183148;2;100.0;100.0
PX113211027183148;3;93.33;100.0
PX113211027183148;4;70.0;100.0
PX113211027183148;5;92.31;100.0
PX113211027183148;6;75.0;100.0
PX113211027183148;7;92.31;100.0
PX113211027183148;8;100.0;100.0
PX113211027183148;9;100.0;100.0
PX113211028161717;1;100.0;100.0
PX113211028161717;2;100.0;100.0
PX113211028161717;3;100.0;100.0
PX113211028161717;4;100.0;100.0
PX113211028161717;5;100.0;100.0
PX113211028161717;6;100.0;100.0
PX113211028165344;1;100.0;100.0
PX113211028165344;2;100.0;100.0
PX113211028165344;3;100.0;100.0
PX113211028165344;4;100.0;100.0
PX113211028165344;5;100.0;100.0
PX11321102817293;1;100.0;100.0
PX11321102817293;2;100.0;100.0
PX11321102817293;3;100.0;100.0
PX11321102817293;4;100.0;100.0
PX11321102817293;5;100.0;100.0
PX113211028173836;1;84.0;100.0
PX113211028173836;2;100.0;100.0
PX113211028173836;3;88.89;100.0
PX113211028173836;4;88.89;100.0
PX113211028173836;5;94.74;100.0
PX113211028173836;6;88.24;100.0
PX113211028181353;1;88.24;100.0
PX113211028181353;2;100.0;100.0
PX113211028181353;3;95.24;100.0
PX113211028181353;4;100.0;100.0
PX113211028181353;5;100.0;100.0
PX113211028181353;6;100.0;100.0
PX113211028181353;7;100.0;100.0
PX113211028181353;8;100.0;100.0
