filename;meas;FN;0;2;3
PX113211018174339;1;0;0;0;0
PX113211018174339;2;0;0;0;0
PX113211018174339;3;0;0;0;0
PX113211018174339;4;0;0;0;0
PX113211018174339;5;0;0;0;0
PX113211018174339;6;0;0;0;0
Sum;0;0;0;0;0
PX113211018182653;1;15;0;15;0
PX113211018182653;2;0;0;0;0
PX113211018182653;3;0;0;0;0
Sum;0;15;0;15;0
PX113211022153039;1;2;0;2;0
PX113211022153039;2;1;0;1;0
PX113211022153039;3;4;0;4;0
PX113211022153039;4;2;0;2;0
PX113211022153039;5;4;0;4;0
Sum;0;13;0;13;0
PX113211022161208;1;23;0;23;1
PX113211022161208;2;0;0;0;0
PX113211022161208;3;0;0;0;0
PX113211022161208;4;0;0;0;0
PX113211022161208;5;2;0;2;0
Sum;0;25;0;25;1
PX113211022170939;1;6;1;5;0
PX113211022170939;2;0;0;0;0
PX113211022170939;3;0;0;0;0
PX113211022170939;4;2;0;2;0
PX113211022170939;5;1;0;1;0
PX113211022170939;6;2;0;2;0
Sum;0;11;1;10;0
PX113211022175414;1;0;0;0;0
PX113211022175414;2;0;0;0;0
PX113211022175414;3;1;1;0;0
PX113211022175414;4;0;0;0;0
Sum;0;1;1;0;0
PX113211022185342;1;0;0;0;0
PX113211022185342;2;0;0;0;0
PX113211022185342;3;0;0;0;0
PX113211022185342;4;16;0;16;0
PX113211022185342;5;0;0;0;0
Sum;0;16;0;16;0
PX113211027165348;1;0;0;0;0
PX113211027165348;2;0;0;0;0
PX113211027165348;3;0;0;0;0
PX113211027165348;4;0;0;0;0
PX113211027165348;5;0;0;0;0
PX113211027165348;6;3;0;3;0
PX113211027165348;7;0;0;0;0
PX113211027165348;8;17;0;17;0
Sum;0;20;0;20;0
PX113211027174740;1;30;0;30;0
PX113211027174740;2;5;0;5;0
PX113211027174740;3;1;0;1;0
PX113211027174740;4;5;0;5;0
PX113211027174740;5;2;0;2;0
PX113211027174740;6;3;0;3;0
Sum;0;46;0;46;0
PX113211027183148;1;41;1;41;2
PX113211027183148;2;0;0;0;0
PX113211027183148;3;1;0;1;0
PX113211027183148;4;6;0;6;0
PX113211027183148;5;1;0;1;0
PX113211027183148;6;5;0;5;0
PX113211027183148;7;1;0;1;0
PX113211027183148;8;0;0;0;0
PX113211027183148;9;0;0;0;0
Sum;0;55;1;55;2
PX113211028161717;1;0;0;0;0
PX113211028161717;2;0;0;0;0
PX113211028161717;3;0;0;0;0
PX113211028161717;4;0;0;0;0
PX113211028161717;5;0;0;0;0
PX113211028161717;6;0;0;0;0
Sum;0;0;0;0;0
PX113211028165344;1;0;0;0;0
PX113211028165344;2;0;0;0;0
PX113211028165344;3;0;0;0;0
PX113211028165344;4;0;0;0;0
PX113211028165344;5;0;0;0;0
Sum;0;0;0;0;0
PX11321102817293;1;0;0;0;0
PX11321102817293;2;0;0;0;0
PX11321102817293;3;0;0;0;0
PX11321102817293;4;0;0;0;0
PX11321102817293;5;0;0;0;0
Sum;0;0;0;0;0
PX113211028173836;1;4;0;4;0
PX113211028173836;2;0;0;0;0
PX113211028173836;3;2;0;2;0
PX113211028173836;4;2;0;2;0
PX113211028173836;5;1;0;1;0
PX113211028173836;6;2;0;2;0
Sum;0;11;0;11;0
PX113211028181353;1;2;0;2;0
PX113211028181353;2;0;0;0;0
PX113211028181353;3;1;0;1;0
PX113211028181353;4;0;0;0;0
PX113211028181353;5;0;0;0;0
PX113211028181353;6;0;0;0;0
PX113211028181353;7;0;0;0;0
PX113211028181353;8;0;0;0;0
Sum;0;3;0;3;0
Total;0;216;3;214;3
