filename;meas;TP;FP;FN;Se;PVP
PX113211018174339;1;13;0;0;100.0;100.0
PX113211018174339;2;18;0;0;100.0;100.0
PX113211018174339;3;16;0;0;100.0;100.0
PX113211018174339;4;16;0;0;100.0;100.0
PX113211018174339;5;13;0;0;100.0;100.0
PX113211018174339;6;17;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;93;0;0;100.0;100.0
PX113211018182653;1;29;4;15;65.91;87.88
PX113211018182653;2;22;0;0;100.0;100.0
PX113211018182653;3;23;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;74;4;15;88.64;95.96
PX113211022153039;1;16;0;2;88.89;100.0
PX113211022153039;2;18;0;1;94.74;100.0
PX113211022153039;3;17;0;4;80.95;100.0
PX113211022153039;4;13;0;2;86.67;100.0
PX113211022153039;5;14;0;4;77.78;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;78;0;13;85.81;100.0
PX113211022161208;1;34;7;23;59.65;82.93
PX113211022161208;2;22;0;0;100.0;100.0
PX113211022161208;3;29;0;0;100.0;100.0
PX113211022161208;4;24;0;0;100.0;100.0
PX113211022161208;5;23;0;2;92.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;132;7;25;90.33;96.59
PX113211022170939;1;33;6;6;84.62;84.62
PX113211022170939;2;27;0;0;100.0;100.0
PX113211022170939;3;26;0;0;100.0;100.0
PX113211022170939;4;31;0;2;93.94;100.0
PX113211022170939;5;32;0;1;96.97;100.0
PX113211022170939;6;29;0;2;93.55;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;178;6;11;94.85;97.44
PX113211022175414;1;37;0;0;100.0;100.0
PX113211022175414;2;37;0;0;100.0;100.0
PX113211022175414;3;32;0;1;96.97;100.0
PX113211022175414;4;31;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;137;0;1;99.24;100.0
PX113211022185342;1;20;0;0;100.0;100.0
PX113211022185342;2;23;0;0;100.0;100.0
PX113211022185342;3;22;0;0;100.0;100.0
PX113211022185342;4;29;6;16;64.44;82.86
PX113211022185342;5;22;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;116;6;16;92.89;96.57
PX113211027165348;1;20;0;0;100.0;100.0
PX113211027165348;2;19;0;0;100.0;100.0
PX113211027165348;3;19;0;0;100.0;100.0
PX113211027165348;4;15;0;0;100.0;100.0
PX113211027165348;5;20;0;0;100.0;100.0
PX113211027165348;6;22;0;3;88.0;100.0
PX113211027165348;7;23;0;0;100.0;100.0
PX113211027165348;8;28;4;17;62.22;87.5
"Sum TP, FP, FN.
 Mean Se, PVP.";0;166;4;20;93.78;98.44
PX113211027174740;1;26;2;30;46.43;92.86
PX113211027174740;2;17;0;5;77.27;100.0
PX113211027174740;3;23;0;1;95.83;100.0
PX113211027174740;4;16;0;5;76.19;100.0
PX113211027174740;5;16;0;2;88.89;100.0
PX113211027174740;6;19;0;3;86.36;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;117;2;46;78.49;98.81
PX113211027183148;1;18;2;41;30.51;90.0
PX113211027183148;2;16;0;0;100.0;100.0
PX113211027183148;3;14;0;1;93.33;100.0
PX113211027183148;4;14;0;6;70.0;100.0
PX113211027183148;5;12;0;1;92.31;100.0
PX113211027183148;6;15;0;5;75.0;100.0
PX113211027183148;7;12;0;1;92.31;100.0
PX113211027183148;8;16;0;0;100.0;100.0
PX113211027183148;9;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;133;2;55;83.72;98.89
PX113211028161717;1;25;0;0;100.0;100.0
PX113211028161717;2;21;0;0;100.0;100.0
PX113211028161717;3;23;0;0;100.0;100.0
PX113211028161717;4;26;0;0;100.0;100.0
PX113211028161717;5;20;0;0;100.0;100.0
PX113211028161717;6;23;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;138;0;0;100.0;100.0
PX113211028165344;1;16;0;0;100.0;100.0
PX113211028165344;2;15;0;0;100.0;100.0
PX113211028165344;3;16;0;0;100.0;100.0
PX113211028165344;4;16;0;0;100.0;100.0
PX113211028165344;5;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;79;0;0;100.0;100.0
PX11321102817293;1;16;0;0;100.0;100.0
PX11321102817293;2;15;0;0;100.0;100.0
PX11321102817293;3;16;0;0;100.0;100.0
PX11321102817293;4;16;0;0;100.0;100.0
PX11321102817293;5;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;79;0;0;100.0;100.0
PX113211028173836;1;21;0;4;84.0;100.0
PX113211028173836;2;16;0;0;100.0;100.0
PX113211028173836;3;16;0;2;88.89;100.0
PX113211028173836;4;16;0;2;88.89;100.0
PX113211028173836;5;18;0;1;94.74;100.0
PX113211028173836;6;15;0;2;88.24;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;102;0;11;90.79;100.0
PX113211028181353;1;15;0;2;88.24;100.0
PX113211028181353;2;14;0;0;100.0;100.0
PX113211028181353;3;20;0;1;95.24;100.0
PX113211028181353;4;16;0;0;100.0;100.0
PX113211028181353;5;17;0;0;100.0;100.0
PX113211028181353;6;19;0;0;100.0;100.0
PX113211028181353;7;17;0;0;100.0;100.0
PX113211028181353;8;22;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;140;0;3;97.94;100.0
"All Sum TP, FP, FN.
 All Mean Se, PVP.";0;1762;31;216;93.1;98.85
