filename;meas;TP;FP;FN;Se;PVP
PX113211018174339;1;15;0;0;100.0;100.0
PX113211018174339;2;17;1;0;100.0;94.44
PX113211018174339;3;16;0;0;100.0;100.0
PX113211018174339;4;16;0;0;100.0;100.0
PX113211018174339;5;13;0;0;100.0;100.0
PX113211018174339;6;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;93;1;0;100.0;99.07
PX113211018182653;1;26;6;1;96.3;81.25
PX113211018182653;2;20;0;0;100.0;100.0
PX113211018182653;3;22;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;68;6;1;98.77;93.75
PX113211022153039;1;18;0;0;100.0;100.0
PX113211022153039;2;19;0;0;100.0;100.0
PX113211022153039;3;19;0;0;100.0;100.0
PX113211022153039;4;15;0;0;100.0;100.0
PX113211022153039;5;17;1;0;100.0;94.44
"Sum TP, FP, FN.
 Mean Se, PVP.";0;88;1;0;100.0;98.89
PX113211022161208;1;21;18;4;84.0;53.85
PX113211022161208;2;22;0;0;100.0;100.0
PX113211022161208;3;24;0;2;92.31;100.0
PX113211022161208;4;20;0;1;95.24;100.0
PX113211022161208;5;19;1;0;100.0;95.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;106;19;7;94.31;89.77
PX113211022170939;1;25;13;0;100.0;65.79
PX113211022170939;2;26;1;0;100.0;96.3
PX113211022170939;3;24;2;0;100.0;92.31
PX113211022170939;4;31;0;0;100.0;100.0
PX113211022170939;5;27;4;0;100.0;87.1
PX113211022170939;6;26;3;0;100.0;89.66
"Sum TP, FP, FN.
 Mean Se, PVP.";0;159;23;0;100.0;88.53
PX113211022175414;1;37;0;0;100.0;100.0
PX113211022175414;2;38;0;0;100.0;100.0
PX113211022175414;3;31;2;0;100.0;93.94
PX113211022175414;4;31;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;137;2;0;100.0;98.48
PX113211022185342;1;20;0;0;100.0;100.0
PX113211022185342;2;23;0;0;100.0;100.0
PX113211022185342;3;15;7;0;100.0;68.18
PX113211022185342;4;26;7;0;100.0;78.79
PX113211022185342;5;21;1;0;100.0;95.45
"Sum TP, FP, FN.
 Mean Se, PVP.";0;105;15;0;100.0;88.48
PX113211027165348;1;20;0;0;100.0;100.0
PX113211027165348;2;18;0;0;100.0;100.0
PX113211027165348;3;18;1;0;100.0;94.74
PX113211027165348;4;15;0;0;100.0;100.0
PX113211027165348;5;20;1;0;100.0;95.24
PX113211027165348;6;23;0;0;100.0;100.0
PX113211027165348;7;22;0;0;100.0;100.0
PX113211027165348;8;17;4;2;89.47;80.95
"Sum TP, FP, FN.
 Mean Se, PVP.";0;153;6;2;98.68;96.37
PX113211027174740;1;30;8;6;83.33;78.95
PX113211027174740;2;19;0;0;100.0;100.0
PX113211027174740;3;23;0;0;100.0;100.0
PX113211027174740;4;21;0;0;100.0;100.0
PX113211027174740;5;16;0;0;100.0;100.0
PX113211027174740;6;22;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;131;8;6;97.22;96.49
PX113211027183148;1;22;8;10;68.75;73.33
PX113211027183148;2;13;0;1;92.86;100.0
PX113211027183148;3;14;0;0;100.0;100.0
PX113211027183148;4;11;0;4;73.33;100.0
PX113211027183148;5;11;1;1;91.67;91.67
PX113211027183148;6;15;0;1;93.75;100.0
PX113211027183148;7;12;0;0;100.0;100.0
PX113211027183148;8;16;0;0;100.0;100.0
PX113211027183148;9;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;130;9;17;91.15;96.11
PX113211028161717;1;23;3;0;100.0;88.46
PX113211028161717;2;21;0;0;100.0;100.0
PX113211028161717;3;23;1;1;95.83;95.83
PX113211028161717;4;21;1;1;95.45;95.45
PX113211028161717;5;15;5;0;100.0;75.0
PX113211028161717;6;20;2;0;100.0;90.91
"Sum TP, FP, FN.
 Mean Se, PVP.";0;123;12;2;98.55;90.94
PX113211028165344;1;16;0;0;100.0;100.0
PX113211028165344;2;14;1;0;100.0;93.33
PX113211028165344;3;16;0;0;100.0;100.0
PX113211028165344;4;16;0;0;100.0;100.0
PX113211028165344;5;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;78;1;0;100.0;98.67
PX11321102817293;1;16;0;0;100.0;100.0
PX11321102817293;2;14;1;0;100.0;93.33
PX11321102817293;3;16;0;0;100.0;100.0
PX11321102817293;4;16;0;0;100.0;100.0
PX11321102817293;5;16;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;78;1;0;100.0;98.67
PX113211028173836;1;26;0;0;100.0;100.0
PX113211028173836;2;16;0;0;100.0;100.0
PX113211028173836;3;18;0;0;100.0;100.0
PX113211028173836;4;18;0;0;100.0;100.0
PX113211028173836;5;20;0;0;100.0;100.0
PX113211028173836;6;18;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;116;0;0;100.0;100.0
PX113211028181353;1;17;0;0;100.0;100.0
PX113211028181353;2;14;0;0;100.0;100.0
PX113211028181353;3;20;0;0;100.0;100.0
PX113211028181353;4;16;0;0;100.0;100.0
PX113211028181353;5;17;0;0;100.0;100.0
PX113211028181353;6;19;0;0;100.0;100.0
PX113211028181353;7;17;0;0;100.0;100.0
PX113211028181353;8;20;0;0;100.0;100.0
"Sum TP, FP, FN.
 Mean Se, PVP.";0;140;0;0;100.0;100.0
"All Sum TP, FP, FN.
 All Mean Se, PVP.";0;1705;104;35;98.58;95.61
