filename;meas;TP;FP;TN;FN;Ac;Se;Sp;PPV;NPV
PX113211018174339;1;21;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018174339;2;26;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018174339;3;25;0;1;1;96.3;96.15;100.0;100.0;50.0
PX113211018174339;4;23;0;1;0;100.0;100.0;100.0;100.0;100.0
PX113211018174339;5;20;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018174339;6;23;0;0;4;85.19;85.19;0.0;100.0;0.0
Total PX113211018174339;0;138;0;2;5;96.55;96.5;100.0;100.0;28.57
PX113211018182653;1;30;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018182653;2;29;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018182653;3;31;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211018182653;4;20;0;0;0;100.0;100.0;0.0;100.0;0.0
Total PX113211018182653;0;110;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211022153039;1;23;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211022153039;2;28;0;0;1;96.55;96.55;0.0;100.0;0.0
PX113211022153039;3;25;0;0;2;92.59;92.59;0.0;100.0;0.0
PX113211022153039;4;21;0;0;0;100.0;100.0;0.0;100.0;0.0
PX113211022153039;5;25;0;0;1;96.15;96.15;0.0;100.0;0.0
Total PX113211022153039;0;122;0;0;4;96.83;96.83;0.0;100.0;0.0
PX113211022161208;1;39;1;0;0;97.5;100.0;0.0;97.5;0.0
PX113211022161208;2;35;0;1;4;90.0;89.74;100.0;100.0;20.0
PX113211022161208;3;29;0;1;3;90.91;90.62;100.0;100.0;25.0
PX113211022161208;4;36;2;0;1;92.31;97.3;0.0;94.74;0.0
PX113211022161208;5;29;3;0;0;90.62;100.0;0.0;90.62;0.0
Total PX113211022161208;0;168;6;2;8;92.39;95.45;25.0;96.55;20.0
PX113211022170939;1;37;1;0;0;97.37;100.0;0.0;97.37;0.0
PX113211022170939;2;43;0;0;1;97.73;97.73;0.0;100.0;0.0
PX113211022170939;3;41;0;1;0;100.0;100.0;100.0;100.0;100.0
