filename;meas;TP;FP;TN;FN;Ac;Se;Sp;PPV;NPV
98;1;18;0;1;0;100.0;100.0;100.0;100.0;100.0
MB1217211018180349;2;21;2;1;0;91.67;100.0;33.33;91.3;100.0
MB1217211018180349;3;20;4;1;0;84.0;100.0;20.0;83.33;100.0
MB1217211018180349;4;17;1;0;1;89.47;94.44;0.0;94.44;0.0
Total MB1217211018180349;0;76;7;3;1;90.8;98.7;30.0;91.57;75.0
MB1217211018183931;1;27;1;0;0;96.43;100.0;0.0;96.43;0.0
MB1217211018183931;2;24;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211018183931;3;23;1;0;0;95.83;100.0;0.0;95.83;0.0
MB1217211018183931;4;30;2;1;0;93.94;100.0;33.33;93.75;100.0
Total MB1217211018183931;0;104;4;1;0;96.33;100.0;20.0;96.3;100.0
MB1217211022154447;1;22;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;2;21;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;3;25;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;4;19;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;5;25;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;6;21;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;7;20;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022154447;8;19;0;0;0;100.0;100.0;0.0;100.0;0.0
Total MB1217211022154447;0;172;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022162805;1;29;0;3;1;96.97;96.67;100.0;100.0;75.0
Total MB1217211022162805;0;29;0;3;1;96.97;96.67;100.0;100.0;75.0
MB1217211022173945;1;64;4;2;5;88.0;92.75;33.33;94.12;28.57
MB1217211022173945;2;63;3;0;1;94.03;98.44;0.0;95.45;0.0
MB1217211022173945;3;55;1;0;1;96.49;98.21;0.0;98.21;0.0
MB1217211022173945;4;55;0;1;0;100.0;100.0;100.0;100.0;100.0
Total MB1217211022173945;0;237;8;3;7;94.12;97.13;27.27;96.73;30.0
MB1217211022183817;1;22;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022183817;2;22;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022183817;3;26;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022183817;4;21;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211022183817;5;23;0;0;0;100.0;100.0;0.0;100.0;0.0
Total MB1217211022183817;0;114;0;0;0;100.0;100.0;0.0;100.0;0.0
MB1217211027171547;1;18;5;4;2;75.86;90.0;44.44;78.26;66.67
MB1217211027171547;2;17;1;2;0;95.0;100.0;66.67;94.44;100.0
MB1217211027171547;3;16;7;6;1;73.33;94.12;46.15;69.57;85.71
MB1217211027171547;4;16;3;1;0;85.0;100.0;25.0;84.21;100.0
MB1217211027171547;5;20;0;4;0;100.0;100.0;100.0;100.0;100.0
MB1217211027171547;6;20;3;0;0;86.96;100.0;0.0;86.96;0.0
MB1217211027171547;7;19;8;4;1;71.88;95.0;33.33;70.37;80.0
MB1217211027171547;8;17;5;3;4;68.97;80.95;37.5;77.27;42.86
MB1217211027171547;9;16;5;0;1;72.73;94.12;0.0;76.19;0.0
Total MB1217211027171547;0;159;37;24;9;79.91;94.64;39.34;81.12;72.73
MB1217211027180439;1;25;5;6;2;81.58;92.59;54.55;83.33;75.0
