filename;measure;FNnumber;1
PX113211018174339;1;0;0
PX113211018174339;2;0;0
PX113211018174339;3;0;0
PX113211018174339;4;0;0
PX113211018174339;5;0;0
PX113211018174339;6;0;0
Sum;0;0;0
PX113211018182653;1;1;1
PX113211018182653;2;0;0
PX113211018182653;3;0;0
Sum;0;1;1
PX113211022153039;1;0;0
PX113211022153039;2;0;0
PX113211022153039;3;0;0
PX113211022153039;4;0;0
PX113211022153039;5;0;0
Sum;0;0;0
PX113211022161208;1;4;4
PX113211022161208;2;0;0
PX113211022161208;3;2;2
PX113211022161208;4;1;1
PX113211022161208;5;0;0
Sum;0;7;7
PX113211022170939;1;0;0
PX113211022170939;2;0;0
PX113211022170939;3;0;0
PX113211022170939;4;0;0
PX113211022170939;5;0;0
PX113211022170939;6;0;0
Sum;0;0;0
PX113211022175414;1;0;0
PX113211022175414;2;0;0
PX113211022175414;3;0;0
PX113211022175414;4;0;0
Sum;0;0;0
PX113211022185342;1;0;0
PX113211022185342;2;0;0
PX113211022185342;3;0;0
PX113211022185342;4;0;0
PX113211022185342;5;0;0
Sum;0;0;0
PX113211027165348;1;0;0
PX113211027165348;2;0;0
PX113211027165348;3;0;0
PX113211027165348;4;0;0
PX113211027165348;5;0;0
PX113211027165348;6;0;0
PX113211027165348;7;0;0
PX113211027165348;8;2;2
Sum;0;2;2
PX113211027174740;1;6;6
PX113211027174740;2;0;0
PX113211027174740;3;0;0
PX113211027174740;4;0;0
PX113211027174740;5;0;0
PX113211027174740;6;0;0
Sum;0;6;6
PX113211027183148;1;10;10
PX113211027183148;2;1;1
PX113211027183148;3;0;0
PX113211027183148;4;4;4
PX113211027183148;5;1;1
PX113211027183148;6;1;1
PX113211027183148;7;0;0
PX113211027183148;8;0;0
PX113211027183148;9;0;0
Sum;0;17;17
PX113211028161717;1;0;0
PX113211028161717;2;0;0
PX113211028161717;3;1;1
PX113211028161717;4;1;1
PX113211028161717;5;0;0
PX113211028161717;6;0;0
Sum;0;2;2
PX113211028165344;1;0;0
PX113211028165344;2;0;0
PX113211028165344;3;0;0
PX113211028165344;4;0;0
PX113211028165344;5;0;0
Sum;0;0;0
PX11321102817293;1;0;0
PX11321102817293;2;0;0
PX11321102817293;3;0;0
PX11321102817293;4;0;0
PX11321102817293;5;0;0
Sum;0;0;0
PX113211028173836;1;0;0
PX113211028173836;2;0;0
PX113211028173836;3;0;0
PX113211028173836;4;0;0
PX113211028173836;5;0;0
PX113211028173836;6;0;0
Sum;0;0;0
PX113211028181353;1;0;0
PX113211028181353;2;0;0
PX113211028181353;3;0;0
PX113211028181353;4;0;0
PX113211028181353;5;0;0
PX113211028181353;6;0;0
PX113211028181353;7;0;0
PX113211028181353;8;0;0
Sum;0;0;0
Total;0;35;35
