filename;meas;Se;PVP
PX113211018174339;1;100.0;100.0
PX113211018174339;2;100.0;94.44
PX113211018174339;3;100.0;100.0
PX113211018174339;4;100.0;100.0
PX113211018174339;5;100.0;100.0
PX113211018174339;6;100.0;100.0
PX113211018182653;1;96.3;81.25
PX113211018182653;2;100.0;100.0
PX113211018182653;3;100.0;100.0
PX113211022153039;1;100.0;100.0
PX113211022153039;2;100.0;100.0
PX113211022153039;3;100.0;100.0
PX113211022153039;4;100.0;100.0
PX113211022153039;5;100.0;94.44
PX113211022161208;1;84.0;53.85
PX113211022161208;2;100.0;100.0
PX113211022161208;3;92.31;100.0
PX113211022161208;4;95.24;100.0
PX113211022161208;5;100.0;95.0
PX113211022170939;1;100.0;65.79
PX113211022170939;2;100.0;96.3
PX113211022170939;3;100.0;92.31
PX113211022170939;4;100.0;100.0
PX113211022170939;5;100.0;87.1
PX113211022170939;6;100.0;89.66
PX113211022175414;1;100.0;100.0
PX113211022175414;2;100.0;100.0
PX113211022175414;3;100.0;93.94
PX113211022175414;4;100.0;100.0
PX113211022185342;1;100.0;100.0
PX113211022185342;2;100.0;100.0
PX113211022185342;3;100.0;68.18
PX113211022185342;4;100.0;78.79
PX113211022185342;5;100.0;95.45
PX113211027165348;1;100.0;100.0
PX113211027165348;2;100.0;100.0
PX113211027165348;3;100.0;94.74
PX113211027165348;4;100.0;100.0
PX113211027165348;5;100.0;95.24
PX113211027165348;6;100.0;100.0
PX113211027165348;7;100.0;100.0
PX113211027165348;8;89.47;80.95
PX113211027174740;1;83.33;78.95
PX113211027174740;2;100.0;100.0
PX113211027174740;3;100.0;100.0
PX113211027174740;4;100.0;100.0
PX113211027174740;5;100.0;100.0
PX113211027174740;6;100.0;100.0
PX113211027183148;1;68.75;73.33
PX113211027183148;2;92.86;100.0
PX113211027183148;3;100.0;100.0
PX113211027183148;4;73.33;100.0
PX113211027183148;5;91.67;91.67
PX113211027183148;6;93.75;100.0
PX113211027183148;7;100.0;100.0
PX113211027183148;8;100.0;100.0
PX113211027183148;9;100.0;100.0
PX113211028161717;1;100.0;88.46
PX113211028161717;2;100.0;100.0
PX113211028161717;3;95.83;95.83
PX113211028161717;4;95.45;95.45
PX113211028161717;5;100.0;75.0
PX113211028161717;6;100.0;90.91
PX113211028165344;1;100.0;100.0
PX113211028165344;2;100.0;93.33
PX113211028165344;3;100.0;100.0
PX113211028165344;4;100.0;100.0
PX113211028165344;5;100.0;100.0
PX11321102817293;1;100.0;100.0
PX11321102817293;2;100.0;93.33
PX11321102817293;3;100.0;100.0
PX11321102817293;4;100.0;100.0
PX11321102817293;5;100.0;100.0
PX113211028173836;1;100.0;100.0
PX113211028173836;2;100.0;100.0
PX113211028173836;3;100.0;100.0
PX113211028173836;4;100.0;100.0
PX113211028173836;5;100.0;100.0
PX113211028173836;6;100.0;100.0
PX113211028181353;1;100.0;100.0
PX113211028181353;2;100.0;100.0
PX113211028181353;3;100.0;100.0
PX113211028181353;4;100.0;100.0
PX113211028181353;5;100.0;100.0
PX113211028181353;6;100.0;100.0
PX113211028181353;7;100.0;100.0
PX113211028181353;8;100.0;100.0
